Lat,Long_,FIPS
+44.1630537,-120.3715849,41013
+44.8589643,-072.9094023,50011
+46.6565964,-087.5840278,26103
+41.4330028,-072.5227802,09007
+35.7951312,-080.2071070,37057
+38.7468320,-088.4823443,17025
+40.1368559,-092.1468345,29103
+39.7785870,-093.5482013,29117
+41.7668593,-077.2572881,42117
+42.3916449,-096.5613555,31043
+45.1461816,-086.0515740,26089
+37.1197611,-076.8801717,51181
+28.3127162,-097.1613657,48391
+39.4397469,-084.5657341,39017
+31.7771909,-084.4394464,13273
+33.5426863,-084.3555727,13063
+43.0548310,-108.6089349,56013
+38.9405270,-084.9642994,18115
+33.5476313,-082.2522957,13073
+40.8715679,-102.3553579,08115
+46.5052807,-108.4397631,30065
+40.4125646,-076.7926343,42043
+44.0124293,-096.6760536,46101
+38.5105128,-081.9061090,54079
+41.1374609,-074.6919141,34037
+39.7835420,-100.4597084,20039
+38.0814361,-086.6265397,18123
+34.4895325,-089.0023393,28145
+42.8944477,-098.7730221,31015
+45.9290434,-093.6329964,27095
+48.3769789,-097.7222304,38099
+39.6249458,-081.8616967,39115
+41.1688366,-081.1970420,39133
+41.2847255,-110.5589468,56041
+41.4079136,-118.1275915,32013
+27.0412118,-098.7001270,48247
+38.8353865,-102.6045852,08017
+45.1604934,-122.1951274,41005
+34.4909149,-094.2308841,05113
+32.3626859,-084.0512306,13193
+40.6009826,-087.3147896,18007
+36.1386970,-084.6392616,47129
+43.3915064,-098.3584331,46043
+38.2221332,-075.3099315,24047
+38.4458209,-087.8391674,17185
+40.8263938,-085.4785975,18069
+38.2898822,-084.5793761,21209
+40.7363787,-093.7845799,19053
+40.8437475,-085.7951915,18169
+41.0918553,-085.0722302,18003
+41.3250032,-086.2690363,18099
+41.8486202,-100.5069105,31171
+46.1106181,-101.0612840,38085
+28.4235871,-099.7658713,48127
+43.6791869,-092.0939369,27045
+34.6893424,-081.1612488,45023
+44.9998572,-096.1768376,27073
+41.7341676,-111.7445680,49005
+44.7253365,-092.4262793,55093
+30.7799036,-082.1396442,13049
+33.9960153,-085.1883384,13233
+40.4945594,-088.8445391,17113
+44.1676811,-070.2074347,23001
+47.6771129,-116.6949184,16055
+36.2142575,-115.0138120,32003
+39.7845058,-099.3421498,20147
+42.4592867,-098.7847662,31089
+38.7415280,-093.8118634,29101
+43.9082222,-091.1117584,55063
+32.1012195,-092.1142311,22021
+37.2275136,-086.2180153,21061
+38.8859240,-089.4365916,17005
+39.9620694,-090.7503095,17009
+44.8216571,-094.2723231,27085
+44.9477454,-091.8976612,55033
+38.1019939,-105.3735148,08027
+37.4732347,-090.3454526,29123
+32.3123379,-100.4181078,48353
+41.6470068,-075.2931930,42127
+43.1061353,-073.8553872,36091
+30.6567132,-096.3023935,48041
+34.0270068,-096.7705330,40095
+39.6123134,-078.7031037,24001
+39.6006015,-080.6281566,54103
+44.3263310,-090.7974909,55053
+46.0245092,-123.7050140,41007
+46.5800714,-122.3774443,53041
+42.2478532,-078.0261531,36003
+41.7723600,-091.1326105,19031
+38.5473812,-086.4892570,18117
+33.7706611,-084.2263432,13089
+34.4568044,-084.4903326,13227
+47.8868343,-110.4362004,30015
+42.3595618,-099.9239198,31017
+36.4015922,-084.1592495,47013
+36.0882406,-078.2830903,37069
+39.3000324,-076.6104761,24510
+38.4554978,-096.1615888,20111
+42.0394920,-094.8676471,19027
+32.0014894,-091.3425760,22107
+35.4478181,-084.2497050,47123
+37.9952438,-101.7936887,20075
+42.7340333,-094.6782789,19151
+44.0614727,-116.3987839,16045
+35.7374992,-091.5599423,05063
+34.7551137,-091.8941320,05085
+40.9623985,-087.4021716,18111
+34.3750807,-083.2280639,13119
+26.5399670,-081.1521142,12051
+33.5593190,-082.8752721,13265
+29.8539997,-094.1493306,48245
+46.5856996,-110.9217396,30059
+37.2873673,-107.8397178,08067
+31.0423136,-097.4814002,48027
+32.7501361,-088.6256306,28069
+34.0533162,-093.1762085,05019
+42.6837613,-121.6461682,41035
+43.4614431,-076.2092618,36075
+18.2899273,-066.2534402,72105
+34.0695153,-085.6542417,01019
+29.7563890,-099.2482849,48019
+46.1732331,-106.6667462,30087
+36.4880853,-103.4757229,35059
+46.0211217,-086.1970290,26153
+41.9472124,-074.2654582,36111
+39.8023521,-074.9612507,34007
+39.0801918,-090.3613647,17083
+37.7602149,-077.4913168,51085
+38.9266259,-101.7711031,20199
+47.0800765,-086.5641076,26003
+36.3836192,-091.8196636,05049
+26.3963839,-098.1809900,48215
+34.6392096,-079.1008811,37155
+43.5627086,-085.7914227,26123
+45.4254956,-119.6023111,41049
+46.0665694,-094.9005758,27153
+35.2186538,-093.7209102,05083
+35.4884913,-081.2268916,37109
+33.3055054,-093.9015018,05091
+28.5144350,-081.3232950,12095
+37.7810745,-107.6702566,08111
+42.1736093,-111.8229653,16041
+33.5822366,-085.0805272,13045
+39.2912114,-096.7274889,20161
+30.8962331,-100.5272161,48413
+36.9334198,-082.0959342,51167
+35.9579149,-081.5300023,37027
+43.7886140,-111.6569925,16065
+38.0977282,-087.2720486,18173
+37.1055589,-085.2813796,21001
+38.7601027,-084.8621525,21077
+38.4445776,-084.3341313,21097
+43.9166447,-069.8443260,23023
+45.8112917,-109.9447960,30097
+33.6245240,-096.6756930,48181
+39.8477067,-080.2256552,42059
+67.0050655,-160.0210864,02188
+38.9145967,-099.3173133,20051
+32.7527958,-087.6230608,01065
+32.6390053,-087.2938269,01105
+34.7031120,-087.8014569,01033
+37.6475943,-098.7401199,20151
+38.2025623,-084.2098602,21017
+35.8433688,-086.4172127,47149
+31.1525157,-083.4294448,13075
+38.4812863,-100.4661853,20101
+36.8003504,-099.6628052,40059
+40.0090561,-088.5923282,17147
+33.6091440,-101.2987099,48107
+18.3863776,-065.5884540,72053
+32.8444965,-087.9642005,01063
+44.2902180,-112.3546128,16033
+43.2124777,-094.2139830,19109
+18.0598584,-065.8598713,72151
+48.7864534,-102.5200874,38013
+36.0338223,-078.8781198,37063
+41.6885844,-095.8271491,19085
+42.8754803,-099.7183514,31103
+42.4335786,-094.1758309,19187
+37.4171687,-088.5423737,17151
+36.2566451,-085.9419149,47159
+36.7814785,-079.7592313,51089
+38.8200709,-077.0840628,51510
+41.0063841,-091.9674402,19101
+47.1221055,-112.3828899,30049
+40.2893927,-110.4295838,49013
+36.7297032,-098.3234449,40003
+33.3859329,-095.6733504,48119
+36.3930297,-086.1566909,47169
+37.2412822,-083.2177723,21193
+44.7562899,-096.6902393,46039
+42.4116284,-122.6756846,41029
+18.1346949,-067.1161994,72067
+28.8646523,-099.7598304,48507
+41.5397495,-103.7262626,31007
+41.3306216,-094.0151842,19121
+26.1935353,-080.4766834,12011
+32.1178118,-082.3306257,13279
+43.4491547,-082.6428148,26151
+32.8986766,-096.4044017,48397
+42.2846636,-083.2619533,26163
+43.6776863,-095.7631323,27105
+46.6024464,-093.4197600,27001
+48.2661631,-098.7390310,38071
+36.3863362,-078.9656441,37145
+38.9213022,-099.8654230,20195
+33.2731740,-090.9444459,28151
+32.3246454,-098.8365596,48133
+32.7555393,-091.0035351,28055
+29.0823457,-097.3616543,48123
+31.2519514,-094.6110558,48005
+34.0052784,-081.7279033,45081
+38.1626154,-091.9236010,29125
+34.2895697,-091.3765466,05001
+37.1065898,-093.8305507,29109
+38.0376579,-078.4853806,51540
+41.4013043,-089.5283772,17011
+38.8148886,-082.9986750,39145
+35.8640782,-082.7127314,37115
+42.6913953,-114.2620858,16053
+39.2520418,-082.4859614,39163
+31.5494930,-097.2014721,48309
+44.2733510,-114.2522675,16037
+43.3653125,-092.3219084,19089
+26.6491240,-080.4483739,12099
+33.7921507,-082.4482992,13181
+31.7516670,-086.6819689,01013
+36.4734430,-086.4597975,47165
+37.7143718,-076.9018551,51097
+36.3377742,-093.5416633,05015
+38.0671571,-078.9014197,51820
+57.1932044,-135.3673965,02220
+45.5476932,-122.4171728,41051
+35.3933855,-085.7103793,47061
+47.0955506,-094.9132898,27057
+46.1082063,-097.6300298,38081
+44.4881125,-075.0743110,36089
+37.3608568,-090.9695158,29179
+38.4500161,-121.3404408,06067
+41.1189483,-084.5821249,39125
+40.7352727,-085.2129742,18179
+36.9314381,-080.3503087,51063
+34.5370572,-120.0399729,06083
+38.0228142,-081.7135390,54005
